Floor 1,Floor 2,Floor 3,Floor 4,Floor 5,Floor 6,Floor 7,Floor 8,Floor 9,Floor 10
Collectivist,Collectivist,Collectivist,Collectivist,Collectivist,Selfish,Collectivist,Collectivist,Selfish,Collectivist
Collectivist,Collectivist,Collectivist,Collectivist,Collectivist,Selfish,Collectivist,Collectivist,Selfish,Collectivist
Collectivist,Collectivist,Collectivist,Collectivist,Collectivist,Selfish,Collectivist,Collectivist,Selfish,Collectivist
Collectivist,Collectivist,Collectivist,Collectivist,Collectivist,Selfish,Collectivist,Collectivist,Selfish,Collectivist
Collectivist,Collectivist,Collectivist,Collectivist,Collectivist,Selfish,Collectivist,Collectivist,Selfish,Collectivist
Collectivist,Collectivist,Collectivist,Collectivist,Collectivist,Selfish,Collectivist,Collectivist,Selfish,Collectivist
Collectivist,Collectivist,Collectivist,Collectivist,Collectivist,Selfish,Collectivist,Collectivist,Selfish,Collectivist
Collectivist,Collectivist,Collectivist,Collectivist,Collectivist,Selfish,Collectivist,Collectivist,Selfish,Collectivist
Collectivist,Collectivist,Collectivist,Collectivist,Collectivist,Selfish,Collectivist,Collectivist,Selfish,Collectivist
Collectivist,Collectivist,Collectivist,Collectivist,Collectivist,Selfish,Collectivist,Collectivist,Selfish,Collectivist
Collectivist,Collectivist,Collectivist,Collectivist,Collectivist,Selfish,Collectivist,Collectivist,Selfish,Collectivist
